商品型号,评论内容
远山白魅族16 PLUS,终于等到你，还好没放弃，此刻很想哭。多的不说了，大家都懂，颜值，质感，配置，性能&hellip;&hellip;完美。
静夜黑魅族16 PLUS,从M8之后就深深的被魅族吸引，买过的魅族不下于两位数，曾经因联发科而失望过，但是当16出来我就知道，曾经魅族回来了，王者归来，依然是那么的香，恩，真香。拍照很清晰，平时日常使用足够了，声音不愧是双扬声器，音质很棒！指纹很灵敏，骁龙845，8+128完全足够应付所有的需求。作为强迫症患者来说，魅族真是一点毛病没有，大爱魅族。祝魅族越来越好！！！
静夜黑魅族16,"购买经过:提前关闭了WiFi内的所有其他设备，重启了下路由器，锻炼了下手速，开抢。20号0点0秒抢购下单成功。下单成功后，当天下午3点收到手机。
京配感受:京东包装手机真的很暴力，几千块的东西拿个气泡袋就发过来了，收到后盒子都已经磕坏了，应该是分拣扔的。
产品包装感受:设计很漂亮但是和手机一样很容易沾染指纹，背部的参数标贴印刷不是很好很模糊。
开箱清单:手机，充电头，数据线，透明手机壳，取卡针，保修卡，VIP卡。
手机:第一眼觉得屏占比高的感觉手机很小，比坚果pro2上下小2cm左右。黑色机身感觉很一体性特别好，很漂亮。一打眼看就知道是三星的屏幕。手机的接缝很好，做工非常优良(之前还担心第一批手机怕做工不好)，手感很好，大小也很合适单手持握不割手。机身中框材质有点类似小米6x，感觉不够档次。屏幕及后盖容易沾染指纹。比较惊喜的是听筒，现在的手机听筒都做的很小，而且都是开个槽就完了，锤子pro2听筒经常进灰。过段时间要掏一下，16听筒有一层小孔。感觉填充感好一些也不容易进灰。
字数限制只能写这么多，静待追评吧，追评发开机体验。及指纹，人脸识别。"
远山白魅族16,"老实说，我在京东经常买手机，但很少评价，第一很多手机是朋友同事托我买的，更加多是懒得写。但作为一个轻度魅族粉，想分享一下这个喜悦。
很多年前有一台mx4，但那台手机&hellip;&hellip;玩个游戏可以烫伤手，以后备用机买过魅蓝3s，苦于一直没有旗舰机，所以都没有充值，但这一次，为了16，真的第二时间拿到，爱不释手。
照相非常满意，不愧是imx380，夜景都清晰。其他，游戏没问题，最赞的是游戏中还能回短信，微信。而且非常薄，散热又快
唯一缺点，电池，实在有点小，玩游戏的话在外绝对要充电宝。"
远山白魅族16 PLUS,从9月12号抢购到的。是晚上22号开始出仓有货发，二十三号收到货。现在京东比较好生意的，以前都是早上应该都可以收到货了，现在快递也要到下午才送到。我也等不及了，直接就去到他们的分发点直接自己拿了。开始装两个电话卡，发现电信卡说可以上网，打不了电话，吓到我了，后来搜索网络@了就可以了。屏幕呢，就没发现什么颗粒的那种呢，因为我本身就是用pro6plus。6plus现在就没用了，放在一边，现在身上带着就这个16plus。还有中兴天机7，天机七是用来工作用的。本来也不想买了，这么多手机要来有什么用，但就是耐不住诱惑吧，出旗舰机都是要买。收到第一天是中秋，前一天我们这里搞个什么音乐会，我们就去看了拿出来拍真的是夜拍神器在边上都看见很多人拿那个iPhone或者其他手机来拍，根本就看不了那个舞台反光太厉害。还有说的那个屏内指纹那个问题，很多人说不灵敏，我看是录不好吧，我觉得都是一次开的了。还有那个贴那个钢化膜，老实说你就算我拿那个pro6pus来贴钢化膜在指纹那，我看前指纹也会用不了吧，音质以为没中兴天机七这么好，一句话非常棒。我老婆现在还不知道我买了16plus。知道肯定给骂了。??
静夜黑魅族16,手机到手已经一周了，说一下感受。拿在手里手感很不错重量也不算重。外观方面基本都做的很极致了。然后手机是屏下指纹解锁和人脸识别。因为屏下指纹解锁，所以这款手机对于指纹没有那么灵敏。相比较我之前使用的三星S6edge+指纹确实没那么灵敏。所以我又设置了人脸识别，抬手亮屏。这样基本一抬手，手机就能打开。人脸识别和指纹都不算特别灵敏，但是都是比较好的了。手机拍照像素很高，但是手机反应慢有时候拍照直接返回照片都不能保存。整体别的软件反应都很快，手机性能上成。操作起来也是得心应手比较人性化。10满分的话，外观加分，指纹人脸识别的不灵敏，扣分。拍照时候的偶尔卡顿扣分。整体的用机体验比较快，比较人性化，加分。考虑到3000块钱的价格，整体给到8分吧！推荐购买。
汝窑白魅族16 X,东西收到了，速度很快，价格便宜。正品很漂亮。
静夜黑魅族16 PLUS,从MX3到pro5到现在的16，个人觉得是魅族最成功的三部手机，虽然等了大半年（从pro7一直都在等），但也是非常值得的。16的手感不错，很薄，拿在手上没想象中那么大（本人妹子，已用了某米note3大半年，确实不太想用了），另外，双扬声器效果非常棒，还有操作要慢慢摸索，毕竟屏比较大！
远山白魅族16,#追求源于热爱#京东牛逼！魅族牛逼！20号晚上12点一抢就抢到了魅族16，十分开心。魅族16手机颜值很高，很好看，更好用，骁龙845，屏下指纹识别度很高，大爱。拍照效果杠杠的；手机非常的轻薄：轻仅152g，薄仅7.3mm，和发布会介绍的一样，手感好；散热方面，魅族16内置了一根含有制冷液的热管来辅助散热，降低手机长时间高负载时的核心温度，长久使用不发烫，非常良心，厉害厉害！从魅族MX3就开始使用魅族了，非常好用！非常支持魅族，支持京东，魅族牛逼！魅族加油！！！
极光蓝魅族16 PLUS,今天下单用京准达很快就到了，晚上灯光有点暗
远山白魅族16,可以的，喜欢，大爱，
砚墨黑魅族16 X,感觉还行，就是指纹不怎么好用，快递真快
静夜黑魅族16 PLUS,对的起 真香  这个两个字
极光蓝魅族16 PLUS,挺喜欢的，一直是魅友
远山白魅族16,快递速度很快，晚止定的，第二天就到了，很满意。果然很香。就是不知道为什么开机之后日期是1970年1月26号，这是一个什么值得记住的日子吗？看图有真相。
远山白魅族16,真香，就是这个电池。。。。。。
静夜黑魅族16,#追求源于热爱# 追求高品质，热爱生活，所以我更喜欢照相好的手机，这款手机照相不错，很棒，给孩子拍照非常好，准备在抢个白色的！！
远山白魅族16 PLUS,"嗯，魅族16p,真香，魅友路过，电池续航给力，外观漂亮，有点大，整体完美。"
静夜黑魅族16,物流很快，因为不喜欢刘海屏才选这个的，外放声音很大，双扬声器很好，**ack也很好用，系统方面有些bug，保存的壁纸在相册里打开都变形了，屏幕指纹不怎么灵敏，解锁速度也慢，在外面用别的充电头充电时屏幕一直亮，灭了又亮的
极光蓝魅族16 PLUS,在好几台845手机里理性分析后选择了这款手机，晚上下的单第二天早上十点就到了，用了一个星期。先说下购机时担忧的问题，一、摄像头没有发现有灰。二、上方扬声器左边确实有一点点溢胶，不过带上手机壳就能遮住了。三、没有阴阳屏，游戏画面的颗粒感在能接受的范围。不过颜色不够鲜艳，感觉上和其他手机相比有点苍白，玩了两天才习惯。其他的指纹解锁辨识率挺高，不经常使用相机，也还行，但能感觉到没有xplay6照的好，电池电量也还行，游戏也能完美运行，发热只有一点温热。玩游戏时收到的qq~消息会以弹幕飘过，感觉很新颖，也可以小窗口回复消息。第一次使用魅族手机，感觉还不错，挺喜欢的。最后这个桌面主题很可爱，很喜欢
极光蓝魅族16 PLUS,颜值设置确实不错，配置也相当高，但是还是有些美中不足的地方，续航方面比较差，一个晚上待机就12个电，轻度使用也用不了一天，还有就是推送的东西太多了，还有指纹识别率全屏手势优化的不够好，其他都挺棒的，在乎续航的不建议考虑哦
远山白魅族16 PLUS,"＃追求源于热爱＃首发很幸运抢到了，没刘海非常漂亮，对比了手上的7p15p屏幕没多大区别，845加持非常流畅娱乐兔跑分29多，同样的摄像头比15p拍照好很多，希望后续优化不要忘记15P,  16p信号真的很强地下车库还满格，新交互不错毕竟用了这么久flyme 容易上手，希望魅族越来越强大，坐等16s发布！"
静夜黑魅族16 PLUS,"等了七天，终于拿到手了。
仍然是熟悉的感觉，外包装沿袭了pro5简约高贵的风格，摒弃了pro7所有的华而不实。
打开盒子，屏幕出厂贴的塑料皮有些脏，可能是赶着出厂的原因，老煤油表示谅解了。
外观很惊艳，6.5并不觉得非常大，可能跟屏幕占比大有关系。屏下指纹成功率很高，贴膜后影响不大，小伙伴们可以放心。
F7系统一如既往的简约好用，软硬件运行非常流畅。
拍照效果好，夜景还没试，今天晚上试试。
总体而言，十分满意！支持魅族，国货精品！"
静夜黑魅族16 PLUS,"一如既往信赖京东。
本人数码发烧友，尤其烧手机。以前每玩一款都会认真的写优缺点，经常写到字数上限都不够，热度很高还会引战，记得之前米6的评价下面评论都1000+了，现在懒了，各位老板自行体验吧。"
晨曦金魅族16 X,操作流畅，通话质量好，电池续航满意，手感一流，屏下指纹使用方便，拍摄清晰。抢了好久才抢到&hellip;&hellip;良心产品值得拥有！
汝窑白魅族16 X,第一次用魅族，之前用的华为，使用了大半个月，说下自己的感受，绝对客观。优点:手感无敌，颜值无敌，这款手机这两大优点基本上无人能打，16x的手感比16th还要好，汝窑白是最好看的。摸过16x以后，再也不想碰其他手机。照相很好，用的华为p20的传感器，可惜魅族的算法比不了华为，可玩性也没华为高，如超级夜景等模式都没有，但是底子在那里，3000元以下的手机没有对手。至于处理器，骁龙710完全够用，我也就打打王者荣耀吃吃鸡，高帧率无压力，并且16x的续航要好于16th，这也是我选择16x的主要原因之一。说说缺点:早闻flyme好用，这次也是第一次使用，相比于emui，Flyme的颜值确实高了不少，但是没有emui稳定，会出现小卡顿，全面屏手势也容易掉帧，并且~确实挺多的，连系统自带的天气APP也有~&hellip;&hellip;魅族对于系统的优化真的有待提高，前两年还说Flyme是做好的国产UI，现在真的不好说了。缺点还有，相机启动过慢，有时候要两三秒，还会出现闪退的现象&hellip;&hellip;指纹识别率不高，建议每过一段时间重新录入指纹。总之2000多的价位16x性价比还是有的，尽管有一些小毛病，如果你是个颜控，这款手机合适不过
静夜黑魅族16,心心念念的魅族16，真香，之前早就想买，到迫于黄章大兄弟一直缺货，只好一直等啊，很幸运在京东上抢到了心仪很久的845旗舰，买来了有大半个月了，手机真心好用，超线性双扬声器，第二代mEngine触感引擎，还有屏下指纹，极窄的边框配合无刘海设计，手机看上去真的好看，后置双摄，底大一级压死人，真的没错，前置2000定制摄像头也很给力。如果你是个注重体验，手机品质的手机爱好者，魅族16是3000价位最好的体验！魅族加油！期待有很好的旗舰，让更多煤油回归！虽然这是我第一次用魅族，但真的很赞！
极光蓝魅族16,可以说是相当精美的机器。骁龙845，Imx380相机，屏下指纹，横向振动马达，几乎所有最好的硬件配置都在这台机器上，加上外观精美的工业设计。配的上真香旗舰称号。唯一的弱点是魅族自家对机器的调试，包括屏幕色彩，相机色彩还有flyme。对于软件部分还是需要加强，流畅程度不及苹果。也不及小米。硬件都在这里了，希望魅族越来越好。
静夜黑魅族16,挺激动的，第一次买旗舰手机。感觉还行吧。以前用的魅族MX5，习惯了。用几天感觉一下再追评。
远山白魅族16,真的好漂亮阿，比我的锤子pro2白色版漂亮多了，尤其是屏下指纹功能，试了一下反应效果非常快，玩大型网游游戏也没有出现卡顿，掉帧的情况，散热性能也非常不错，黄老板这次魅族旗舰16是非常不错的~我很喜欢~希望也可以让大家伙也喜欢~                       非常好抢哦~
远山白魅族16,#追求源于热爱#自从iPhone4S之后就没有买白色手机，但除了魅族16白色很好看，最好看的全面屏，没有之一，屏幕跟iPhone6整机差不多大，手感和iPhone6一样很好，屏幕指纹解锁速度比不上非屏幕指纹解锁，不过已经足够快体验很好，加上面部识别解锁感觉无敌了（没有试过其他的?），如果下一代能加上NFC就完美了
极光蓝魅族16 PLUS,终于买到极光蓝颜色的，看中外观颜值高也无刘海屏；8G运行内存很流畅，打开软件都很快；就电池续航问题差，掉电太快了!好在还有24W快充，充电快，这续航问题还得麻烦工程师加强对系统优化；总体不错 就等这款手机等了几个月&hellip; 总体不错，这次这款魅族16旗舰机性价比高，值得购买。
静夜黑魅族16,等了那么久的魅族16终于拿到手了，还好买到了。用起来挺好的，喜欢它的功能，手机的颜值也高。不足的是屏下指纹有时候不太灵敏，望改进。必须要夸的一点是照相真的超棒，照的照片完美。希望魅族越做越好&hellip;&hellip;
静夜黑魅族16,"就喜欢京东这个速度，第一次首轮就抢到了，哈哈哈，开心！本人手机爱好者，每年必换，而且谈不上什么粉，觉得哪个好就入手试试，之前得小米6确实还不错，希望魅族也不要让我失望，flyme还是魅族的灵魂,希望硬件大进步，软件更加出色！初上手质感，颜值，流畅度都完美。把玩几天再详评！"
静夜黑魅族16,挺好用的，10月25下午4点多买，10月26早上8点就到货了，刚刚买回来到手的时候觉得很惊艳，全面屏，机子很轻，大小也适中，有耳机孔，充电也可以玩游戏，亮屏快充也挺快的，带个一万毫安的电宝差不多了可以在外面打一天游戏。
远山白魅族16,"用了一个多月 确实进步很多  性能强劲  进软件游戏很快 散热也比以前好
白色很漂亮 手感好 拍照很好 晚上很赞 下面有图
续航就一般般   屏幕也一般般 不像以前的魅族 上下边框要能再缩小一点就更好看"
极光蓝魅族16 PLUS,此用户未填写评价内容
汝窑白魅族16 X,包装的太简单了，就一个纸箱。很薄，汝窑白很漂亮。不玩游戏基本上都够了，非常满意的一点是信号比p6p好多了。
极光蓝魅族16 PLUS,此用户未填写评价内容
极光蓝魅族16,很好的魅族支持你
远山白魅族16,"#追求源于热爱#
一直等待魅族的高通旗舰机，没想到首发就抢到了，作为老魅友感觉16的进步是巨大的，一部近乎没有短板的手机，好看的屏幕，拍照的提升，良好的发热控制，摒弃的刘海，以及完全不用担心的性能，促成了今年的爆品，一款可能2018年最好看最完美的手机。"
远山白魅族16,此用户未填写评价内容
静夜黑魅族16,从没想到要买这个手机，只是经常在头条新闻里面被刷屏才关注的，然后到实体店里看了一下觉得大小合适。手机整体来说比较满意，就是顶部听筒两边屏幕翘起。还好左右两边凸起比较匀称，如果一边高一边低，我真的接受不了，不知道以后会不会完全脱离就担心这个，如果一直保持这样那就算了，没关系用着了。我压根就没想到要买，本来想在黄牛那里买的，可是看到黄牛那里加价就不想跟跟黄牛买，在不经意间刚好看到京东有现货抢，我就随手点了一下，没想到真的买到了，一直在网上看到很多网友都在抱怨怎么抢都抢不到，没想到被我这个不怎么想买的一抢就抢到了，我想算了，买到了也是赚吧，看到很多网友都是这样说，所以就买了。我发现顶部屏幕突出就是翘起了。我第一时间心情很差，想到的就是退货，后来我看了一下评论。发现很多网友买到机器都是这样的，然后心里才平衡了一点，原来我不是个列。真的如果在意顶部屏幕翘起的话，我觉得还是不要下手，免得买了毕竟也不便宜啊，3000块对很多普通的朋友来讲，真的不少。像我这种自由职业者稳定收入，一个月将近1万，但是我平常的花销也大我感到买这手机也很有压力，毕竟我也不缺手机用。买到喜欢的还好，不喜欢的话那真的是买到遭罪
静夜黑魅族16,被屏幕指纹惊艳到了，拍照很666，线性马达很爽再也不用担心电话漏接了，之前用小米8都不知道漏接多少电话，骁龙845没的说，配置摆在那里。很赞推荐购买
远山白魅族16,＃追求源于热爱＃魅族16远山白看到的第一眼，就是太漂亮了。拿在手上的感觉就是我见过的手机中最美的手感最好的，上下对称式全面屏+超窄边框+极致屏占比可以说是一扫刘海屏大潮的阴霾。再加上骁龙845，屏下指纹，定制2000万前置摄像头IMX380*350和SuperAMOLED屏幕，AOE息屏显示，横向线性马达，铜管液冷散热，还有太多了。无敌相加比，加上Flyme的系统，就问一句还有谁？？？
远山白魅族16,用了近一个星期来评价，手机整体颜值还是比较高的，尤其是高屏占看起来还是比较舒服的，日常使用没有卡顿现象发生，但有一些不影响使用的小bug发生，玩游戏也没有感觉到发烫，**ack的按压震动反馈也比较舒服。电池方面呢如果不是重度手机使用者的话手机续航还是可以的，但使用手机较多的话，快充就起到了重要的作用。实测开3个后台（QQ，微信，运动健康）同时打开wifi，蓝牙然后熄屏充电从10%-100%大约需要1小时20分钟左右（从10%-50%需30分钟左右）。晚上待机开3个后台同时也打开wifi，蓝牙，待机一晚9个小时耗费10%左右的电量。其次是指纹解锁，若配合人脸解锁和抬腕亮屏，那么基本是拿起手机还没按指纹手机就已经解锁了，指纹解锁成功率很高，但会出现手指干净但无法解锁的1%低概率事件，在日常支付中仅发生两次指纹识别失败现象，处于可接受范围内的事。其他方面未发现品控等屏幕显示问题。手机内丰富的主题应该不会很快出现审美疲劳?，总体来说非常满意的一次购机使用体验，支持魅族！
静夜黑魅族16 PLUS,屏幕顺滑，玩吃鸡可以开高清模式和高帧率了，老远就能看到人。网络流畅，没有论坛里说的断流断触现象发生。另外扬声器外放音乐果然像发布会说的那样媲美CD音质。和之前的魅族Pro7plus对比了一下，差别明显。尽管P7P有运放模块外放音质比16明显差很多，当然没有尝试用耳机测试毕竟HiFi要用耳机才能听出效果的。买过的魅友可以尝试一下16外放音乐把手机横过来放面前听一下
远山白魅族16,嗯，到货了，现在是合法评价！颜值没有随主流，漂亮的不要不要的，使用体验到时候追＋
静夜黑魅族16,从果粉转来的，很喜欢魅族的flyme，手机硬件以前不行，现在用了高通845就没短板了，可惜屏幕没能用上三星2k屏。希望能用的流畅好用。
极光蓝魅族16,两天就到手了！ 很惊艳 选雪碧色真的对了！特意用了三个星期才来评价！运行方面没话说，流畅的一批  别人都说电量不行 个人感觉不错呀 充满电 两个小时王者外加蓝牙耳机音乐 剩74的电 一般我是一天充一次就够了！（就是充电普通吧 一个半小时左右 不快不慢吧） 系统方面 一开始用起来不习惯 Flyme系统现在对我来说太好了 各方面很方便 而且贼流畅！当然 不好的地方还是在指纹上吧 手上有点水就完蛋了 基本解不开锁 再加上晚上室外用 面部解锁也GG 就只能手动输入密码了！希望后续有改进就好了！ 最后附上一张上午战绩 手机要是卡一点 这局可能就凉凉了！强行带飞啊！
静夜黑魅族16,emmm，这个手机的优点大多都知道的，使用了一周时间说一下缺点吧，首先换了高通处理器后的魅族确实翻身了，但不得不说flyme的系统体验感越来越差，目前我使用的是7.1.1.3A版本，体验感真不尽如人意。1.在其他界面打开~消息是可能会出现图一的卡屏2.在游戏界面付款回到游戏界面是偶发图二的情况3.屏幕指纹真的识别很差4.拍照颜色偏冷见图三，之前用的是苹果8p，选择魅族是因为没有刘海屏，且此前对flyme系统有好感，但不得不说此次的flyme7很让人失望，各种的适配问题。期望魅族打磨完处理器后好好打磨下系统吧！如果你可以接受偶尔的应用切换时的卡屏，那么魅族的确是一个很好的手机。至少对我来说，没有刘海屏、没有大黑边，除了偶尔的系统bug，其他都是可以的，至少硬件没的说。
静夜黑魅族16 PLUS,手机完美，一下子买了五个，卖四个，开心，屏幕oled效果一般，为了屏下指纹也没办法，845处理器倒是可以，外观完美，物流完美，魅族可以
汝窑白魅族16 X,早买早解毒，真香机，即使闪存ufs2.1变为eMMc5.1，横向线性马达变为纵向线性马达，双扬声器变为单扬声器，由于845变为710处理器随之铜管散热也被砍掉，但依然阻止不了这是一部真香机。魅族16X有着710中高端处理器的加持，性能表现并没有落后旗舰机高通骁龙845太多，能够保证日常使用的流畅和拥有不错的游戏性能表现。在没有使用刘海屏和水滴屏的情况下，采用对称式的全面屏和极窄的左右边框使屏占比达到了90.62%，它还是最便宜的屏幕下指纹识别手机，拥有旗舰手机的拍照体验和效果，金属一体化的超薄机身设计有着不错的颜值和手感，这可能是两千元价位性价比最高的手机
远山白魅族16,"刚出时就想买了，结果没货！
前几天上网浏览一下忽然就看到有货了，综合考虑一下，感觉现在魅族16的配置还算跟得上主流！
就下单了，说一下手机用起来很流畅，拍照也不错，音质也还可以，就是能给配个耳机就好了！这是第一次用魅族手机，希望经得起时间的考验吧！魅族还是很有创新精神的！希望魅族不会倒！"
静夜黑魅族16 PLUS,太漂亮了真香，摄像头很给力，外放很震撼
静夜黑魅族16 PLUS,"好，这个手机用了有小半个月了，现在我来评价一下，给那些还在纠结的人或者选手机的人一个参考。
1.外观：没得说，我不喜欢刘海屏，魅族16是一款没有刘海的全面屏手机，拿到手非常惊艳，上下额头非常窄，真的非常窄，左右边框可以说是手机里面最窄的了，非常漂亮
2.**ack：魅族16没有了home键后，**ack由一条线代替，用着非常舒服，个人对全面屏手势用着不习惯，而且套上手机壳后全面屏手势用着也不方便，所以体验非常棒，特别是重按回到桌面，因为线性马达而感觉特别爽
3.线性马达，魅族16采用了跟爱疯一样的横向线性马达，不管是手机来电，闹钟，还是**ack等等用上了就放不下了，真的不错
4.电量，我买的16plus，用到现在基本上是一天一充，如果不玩游戏的话用一天足够了，对于一些上班族和学生党来说
5.双扬声器，16在电话听筒处也做了扬声器，不论是开视频还是玩游戏还是耍抖音，比单扬声器体验好太多，立体声，我这么讲你们明白吧
6.屏幕，16采用了amoled屏幕，我个人感觉挺舒服的，有些人可能会问16plus有没有颗粒感，我觉得挺清晰的
7.相机，这也是我非常关心的点，我在拿到手机后时差会在不同场"
极光蓝魅族16 PLUS,手机很好看，很耐看，用了将近两个星期才评价的，机子很好没毛病，而且这极光蓝的颜色真好看，机身很薄，摸起来很舒适，手机续航也还是很好的，音质也还可以哦，这手机对我最大的吸引力就是他的屏幕设计，真好看，振动的感觉真棒。相机方面也还是可以，不过我觉得都到将近2019年了，后置摄像头的光圈还是用f1.8，进光量太小了，拿和随便一个光圈为f1.7的手机比，感觉像素就没那么好了，而且我自己还觉得这个手机的像素还比f1.7的手机差点呢，对这点很失望哦（我是用这手机和一加5比的，我前面用的就是一加5）。我感觉至少也得是用f1.7的大光圈吧，
静夜黑魅族16,非常满意，很好，屏幕很清晰，照相很好，闪光灯很亮，性能稳定，
静夜黑魅族16,"缺点1：指纹识别速度慢且经常无法识别
                    2：电池及其小
                    3：喜欢录全民K歌的千万别买，录歌效果及其差
          优点：系统可玩性高流畅，双扬声器外放效果好，正面颜值不错，轻薄。"
静夜黑魅族16,我对魅族的Flyme系统可以说很了解了，毕竟用了多年，感觉还是很好用的，在国产手机系统UI中，我只喜欢Flyme和MIUI，这两个系统我觉得设计风格很有自身特色，也比较好用，习惯了Flyme的我拿起魅族16th的感受下系统，感觉还是如初的味道，虽然已经有一年不用Flyme了，但是拿到魅族16th感受下后还是非常的棒，还是以前的味道。
静夜黑魅族16,没有想到运气这么好，在京东一抢就抢到了！！！非常满意！屏下指纹，845通关散热，安兔兔跑分第二！鲁大师流畅度第一！非刘海屏！91.18/100的屏占比！耳机孔！立体扬声器！震动马达！不枉等待了二十多天，实在太喜欢了，第一次用魅族，爱不释手啊...这么好的手机实在应该多多生产，让大家都可以用到！！！！！！
静夜黑魅族16,"购买原因：朋友推荐，在众多机海中选择了之前并不了解的魅族。优点：不再赘述，厂家、媒体、网友都认为是值得购买的机器。缺点：是不是因为赶工的原因，屏幕边缘铝合金边框条状漆缺失，咨询售后，售后告知手机外观问题不属于质量问题。综述：第一次选择魅族，也许也是最后一次。欢迎打脸。黄章加油。"
汝窑白魅族16 X,帮姐姐买的，很不错，今年国产机也只有魅族能香了，6＋128G内存也够日常用了，3100的电池个人觉得有点小，哪怕手机厚一点也想电池大一点，白色看到没有天线带很漂亮，因为时间有点急就体验了一下王者荣耀进游戏57帧，最高61帧，基本稳定在58帧很舒服，710的性能和功耗都很好，总的一句话真香～希望魅族明年能继续努力，不要让我们失望。
静夜黑魅族16,第一次用魅族机 感觉还不错 手势不喜欢 老是想按右边的返回键，自己的7p老婆用了 之前只用过小米，一直喜欢魅族的flyme 系统太好看了 今天用了一天 电池还不错 不是重度使用 一天可以 颜值很高 拍照效果犀利！就是这个手势还需要多适应！整体是个好旗舰机 加油！
静夜黑魅族16,外观直接看吧，小可爱们应该都看过了，所以就拍了几张各部分照片。可以说是超大的R角，符合机身弧度。然后就是金属中框和3D后盖玻璃，手感可以和15后背弧度类比，可以感觉出来弧度还是经过了静心打磨的。不过这种操作发生在阿章身上太正常了
静夜黑魅族16,手机收到了，一开盒就被惊艳到了，炫酷黑色无刘海全屏机，手感特好到手操作完全没有压力，安兔兔跑分直接29万多，太NB了，从第一部魅蓝NOTE2到现在的16，用了6台魅族手机了，停不下来的节奏，淘汰的手机给我父母用都说好用，一直支持魅族，加油！
极光蓝魅族16 PLUS,"极光蓝配上极光背膜，是真滴香啊～
希望大家能早点抢到！"
静夜黑魅族16,很好满意，首发抢到运气太好了
静夜黑魅族16,优点:外观漂亮，手机尺寸刚刚好，握持感舒服，性能就不用担心了，毕竟骁龙845的处理器，横向线性马达的触感确实非常舒服，双扬声器不错，最后就是保留耳机孔好评；不足:系统方面还有不少地方需要优化，特别是全面屏手势（虽然**ack已经足够好用，但还是占用了一小部分的屏幕空间）。京东物流一如既往的快！
云山蓝魅族16 X,手机收到并已开始用，感觉还不错，机体轻薄，颜色漂亮，屏幕接触灵敏，翻页快速，其它待用久后再说
汝窑白魅族16 X,魅族**粉。从mx2用到现在，在京东的买的魅族也是5.6个了，这才是真全面屏手机，美到炸裂啊。一见钟情说的就是我吧。赞美魅族，魅族一天不凉，我就一天不会换手机牌子。
静夜黑魅族16,手机很好看，系统好，就是指纹解锁不是很好用
静夜黑魅族16,真香，第一个手机有点问题。换了一个  客服小姐姐说话太好听了~态度也特别好～；希望这个手机没啥毛病，也 希望魅族越来越好吧   毕竟还是希望在这个手机同质化太严重的时代魅族能独树一帜啊！扬声器非常狠 不输舍友的苹果 XS MAX  。线性马达  也是不输！指纹解锁也是很酸爽 反正我的手用了一天了就遇到过一次没有成功 手机手感也是很棒~ 系统呢就是希望 大弧边虽然好看但是个别软件的适配还需要加快~  续航没有网上说的那么惨  就是正常水平  轻度使用坚持一天还是可以的~  对了 还有 好像是距离感应器比较靠边  用右手接打电话没事  但是左手  可能会遇到 不黑屏的情况 但是根本没有影响到我~ 还有就是自动亮度有点小延迟  别的呢还在体验中.。。。。。
远山白魅族16 PLUS,使用了十来天才来评论 他们说的问题我都没用遇到过 买东西不要看别人瞎说 喜欢就买，系统还是一如既往的好用 震动反馈非常喜欢 外放音质也很清晰 手感很好 白色真的好看，拍照一流 喜欢就买吧。
静夜黑魅族16 PLUS,"首先声明，非专业测试手机人员，说的不一定对。只是说下自己的用机感受。屏幕没有网上说那种颗粒感，打开相机也没有卡顿和慢的感觉。8G运行内存就剩不到5G,查看方法是从开发者模式中查看。新机肯定短时间内不会存在卡顿现象，但是华为mate20数据存储的方式更先进，使用时间长了也不会卡。续航能力绝对是最大的败笔，我已经将屏幕亮度调暗，但是待机还是很费电。重度使用手机的用户，肯定的一天两充。玩王者荣耀两个半小时，电量从95掉到69。全军出击玩了一局，屏幕大看的很清晰，吃鸡容易很多。骁龙845的频率高导致耗电快很正常，想要续航能力强的，选骁龙710都不错。就先写到这，用一段时间再来追评。"
静夜黑魅族16,几经周折手机算是到手了，京东物流速度没得挑，但外包装可能有点小破损，好在机子有惊无险，试用半个月应用系统各方面都挺流畅，就是续航不行，一天两冲是必须的了。我不是煤油，但是这是我买的魅族第二部手机，小而美是它的初衷，而16也算是交上了一个好的答卷，期待明年的16S吧。
远山白魅族16 PLUS,美死了，我的天呢！魅族加油！
极光蓝魅族16,使用感觉还不错，给老妈买的。性能各方面比较均衡，极光蓝比较好看，但是送的壳比较一般，其他的还可以。
静夜黑魅族16,震动反馈和第三方的应用，下载的铃声不是很适配，全面手势操作有待提高，
静夜黑魅族16,优点外观好看，缺点是指纹不够灵敏，还有相机感觉色彩不如原来的华为p9
静夜黑魅族16 PLUS,无敌了，太棒了，墙裂推荐
静夜黑魅族16,手机颜值还是很高的，刚拿到，触感非常不错，目前还是挺满意的，等再用一段时间再来追评，
静夜黑魅族16,真香机 屏幕指纹识别率挺高的 电池小了点 但续航也能做到一天正常使用。 845真香
汝窑白魅族16 X,"嗯 用了好长时间才过来评价。16x真心不错，很好用，屏下指纹很带劲系统不卡，之前的魅蓝e2成功给了老妈用
嗯。。"
静夜黑魅族16,当天买当天到，物流是真的快，然后手机是真的好看也好用
静夜黑魅族16,一直都在京东买东西，都还不错，重要是物流很快，省心省力，满意。
远山白魅族16,高端大气上档次，低调奢华有内涵。颜值来说可以秒杀所有刘海屏，超窄边框，系统好用，没卡过，特地用了20+天之后开评价，游戏也不卡，本人不怎么手游.看电影超爽的，大屏，观感很不错，很多人性化设计，手机手感没的说，顺滑！推荐购买
